Last Played,Hymn Number,Name,Lyrics,Key,Times Played,Source,Tags,Jake Can Play,Image 13
"Sun, Jun 14",343,Springs of Living Water,"Verse 1
I thirsted in the barren land
Of sin and shame
And nothing satisfying there I found
But to the blessed cross of Christ
One day I came
Where springs of living water did abound

Chorus
Drinking at the springs of living water
Happy now am I my soul they satisfy
Drinking at the springs of living water
O wonderful and bountiful supply

Verse 2
How sweet the living water
From the hills of God
It makes me glad and happy all the way
Now glory grace and blessing
Mark the path I've trod
I'm shouting hallelujah every day

Verse 3
O sinner won't you come today to Calvary
A fountain there is flowing deep and wide
The Savior now invites you to the water free
Where thirsting spirits can be satisfied",#,6,Living Hymns,,false,
"Sun, Jun 14",361,The Lily of the Valley,"Verse 1
I have found a friend in Jesus, He's ev'rything to me,
He's the fairest of ten thousand to my soul;
The Lily of the Valley in Him alone I see
All I need to cleanse and make me fully whole.
In sorrow He's my comfort, in trouble He's my stay,
He tells me ev'ry care on Him to roll;
He's the Lily of the Valley, The Bright and Morning Star,
He's the greatest of ten thousand to my soul.


Verse 2
He all my grief has taken And all my sorrows borne,
In temptation He's my strong and mighty tow'r;
I have all for Him forsaken And all my idols torn
From my heart, and now He keeps me by His pow'r.
Though all the world forsake me, And Satan tempt me sore,
Through Jesus I shall safely reach the goal;
He's the Lily of the Valley, The Bright and Morning Star,
He's the greatest of ten thousand to my soul.


Verse 3
He will never, never leave me Nor yet forsake me here,
While I live by faith and do His blessed will;
A wall of fire about me, I've nothing now to fear-
With His manna He my hungry soul shall fill.
Then sweeping up to glory, I'll see His blessed face,
Where rivers of delight shall ever roll;
He's the Lily of the Valley, The Bright and Morning Star,
He's the greatest of ten thousand to my soul.",b,5,Living Hymns,"Testimony,Worship",false,
"Sun, Jun 14",372,Once for All!,"Verse 1
Free from the law—O happy condition!
Jesus hath bled, and there is remission;
Cursed by the law and bruised by the fall,
Grace hath redeemed us once for all.

Chorus
Once for all—O sinner, receive it!
Once for all—O brother, believe it!
Cling to the cross, the burden will fall—
Christ hath redeemed us once for all!

Verse 2
Now are we free—there’s no condemnation!
Jesus provides a perfect salvation;
“Come unto Me”—O hear His sweet call!
Come—and He saves us once for all.

Verse 3
Children of God—O glorious calling!
Surely His grace will keep us from falling;
Passing from death to life at His call,
Blessed salvation—once for all.",##,1,Living Hymns,,false,
"Sun, Jun 14",814,Wonderful Grace of Jesus,"Verse 1
Wonderful grace of Jesus, greater than all my sin;
how shall my tongue describe it, where shall its praise begin?

Taking away my burden, setting my spirit free,
for the wonderful grace of Jesus reaches me.

Chorus
Wonderful the matchless grace of Jesus,
deeper than the mighty rolling sea,

higher than the mountain, sparkling like a fountain,
all sufficient grace for even me;

broader than the scope of my transgressions
greater far than all my sin and shame.

O magnify the precious name of Jesus, 
praise His name!

Verse 2
Wonderful grace of Jesus, reaching to all the lost,
by it I have been pardoned, saved to the uttermost.

Chains have been torn asunder, giving me liberty,
for the wonderful grace of Jesus reaches me.

Verse 3
Wonderful grace of Jesus, reaching the most defiled,
by its transforming power making him God’s dear child,

purchasing peace and heaven for all eternity,
And the wonderful grace of Jesus reaches me.",C,8,Living Hymns,Grace,false,
"Sun, Jun 14",858,Redeemed,"Verse 1
Redeemed, how I love to proclaim it!
Redeemed by the blood of the Lamb;
Redeemed through His infinite mercy,
His child, and forever, I am.

Chorus
Redeemed, redeemed,
Redeemed by the blood of the Lamb;
Redeemed, how I love to proclaim it!
His child, and forever, I am.

Verse 2
Redeemed, and so happy in Jesus,
No language my rapture can tell;
I know that the light of His presence
With me doth continually dwell.

Verse 3
I think of my blessed Redeemer,
I think of Him all the day long;
I sing, for I cannot be silent;
His love is the theme of my song.",bbb,2,Living Hymns,,false,
"Sun, Jun 14",821,Grace Greater than Our Sin,"Verse 1
Marvelous grace of our loving Lord,
Grace that exceeds our sin and our guilt!

Yonder on Calvary's mount out-poured–
There where the blood of the Lamb was spilt

Chorus
Grace, grace, God's grace,
Grace that will pardon and cleanse within;

Grace, grace, God's grace,
Grace that is greater than all our sin!

Verse 2
Sin and despair, like the sea-waves cold,
Threaten the soul with infinite loss;

Grace that is greater– yes, grace untold–
Points to the Refuge, the mighty Cross. 

Verse 3
Dark is the stain that we cannot hide,
What can avail to wash it away?

Look! There is flowing a crimson tide,
Whiter than snow you may be today

Verse 4
Marvelous, infinite, matchless grace,
Freely bestowed on all who believe!

You that are longing to see His face,
Will you this moment His grace receive?",#,6,,Grace,false,
"Sun, Jun 7",333,It's Just Like His Great Love,"A friend I have called Jesus,
Whose love is strong and true,
And never fails howe’er ’tis tried,
No matter what I do;
I’ve sinned against this love of His,
But when I knelt to pray,
Confessing all my guilt to Him,
The sin-clouds rolled away.


Chorus:
It’s just like Jesus to roll the clouds away,
It’s just like Jesus to keep me day by day.
It’s just like Jesus all along the way,
It’s just like His great love.


Verse 2
Sometimes the clouds of trouble
Bedim the sky above,
I cannot see my Savior’s face,
I doubt His wondrous love;
But He, from Heaven’s mercy seat,
Beholding my despair,
In pity bursts the clouds between,
And shows me He is there.


3 When sorrow’s clouds o’ertake me,
And break upon my head,
When life seems worse than useless,
And I were better dead;
I take my grief to Jesus then,
Nor do I go in vain,
For heav’nly hope He gives that cheers
Like sunshine after rain.


4 Oh, I could sing forever
Of Jesus’ love divine,
Of all His care and tenderness
For this poor life of mine;
His love is in and over all,
And wind and waves obey
When Jesus whispers, “Peace, be still!”
And rolls the clouds away.
",bb,4,Living Hymns,,true,
"Sun, Jun 7",392,Stepping in the Light,"Verse 1
Trying to walk in the steps of the Saviour,
Trying to follow our Saviors and King;

Shaping our lives by His blessed example,
Happy, how happy, the songs that we bring.


Chorus
How beautiful to walk in the steps of the Saviour,
Stepping in the light, stepping in the light;

How beautiful to walk in the steps of the Saviour,
Led in paths of light!


Verse 2
Pressing more closely to Him who is leading,
When we are tempted to turn from the way;

Trusting the arm that is strong to defend us,
Happy, how happy, our praises each day. (Refrain)


Verse 3
Walking in footsteps of gentle forbearance,
Footsteps of faithfulness, mercy and love;

Looking to Him for the grace freely promised,
Happy, how happy, our journey above!


Verse 4
Trying to walk in the steps of the Saviour,
Upward, still upward, we'll follow our Guide;

When we shall see Him, “the King in His beauty,”
Happy, how happy, our place at His side!",bbbbb,4,,"Joy,Worship,Discipleship,Youth",false,
"Sun, Jun 7",448,"My Saviour's Love (v1, v2, v5)","Verse 1
I stand amazed in the presence
Of Jesus, the Nazarene,

And wonder how He could love me,
A sinner, condemned, unclean.


Chorus
How marvelous, how wonderful!
And my song shall ever be:

How marvelous, how wonderful
Is my Savior’s love for me!


Verse 2
For me it was in the Garden
He Prayed: “Not My Will, but Thine”

He had no tears for His own Griefs,
But sweat-drops of blood for mine. 

Verse 3
In Pitty Angels Beheld Him
And Came from a World of Light

To comfort Him in the sorrows
He bore for my soul that night

Verse 4
He took my sins and my sorrows;
He made them His very own;

He bore the burden to Calv'ry,
And suffered and died alone.


Verse 5
When with the ransomed in glory
His face I at last shall see,

‘Twill be my joy through the ages
To sing of His love for me.
",bbbb,5,Living Hymns,,false,
"Sun, Jun 7",736,"I Will Sing of the Mercies of the Lord
","Chorus
I will sing of the mercies of the Lord forever,
I will sing, I will sing,

I will sing of the mercies of the Lord forever,
I will sing of the mercies of the Lord.

With my mouth will I make known
Thy faithfulness, Thy faithfulness,

With my mouth will I make known
Thy faithfulness to all generations,

I will sing of the mercies of the Lord forever,
I will sing of the mercies of the Lord.

",##,5,,,false,
